Drug,Phenotype,Disease,drug_relation,drug_display_relation,phenotype_relation,phenotype_display_relation
mechlorethamine,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
mechlorethamine,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
mechlorethamine,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
mechlorethamine,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
mechlorethamine,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisolone,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisolone,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisolone,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisolone,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisolone,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
cortisone acetate,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
cortisone acetate,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
cortisone acetate,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
cortisone acetate,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
cortisone acetate,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone acetate,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone acetate,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone acetate,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone acetate,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
hydrocortisone acetate,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
dexamethasone,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
dexamethasone,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
dexamethasone,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
dexamethasone,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
dexamethasone,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
betamethasone,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
betamethasone,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
betamethasone,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
betamethasone,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
betamethasone,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
doxorubicin,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
doxorubicin,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
doxorubicin,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
doxorubicin,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
doxorubicin,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
rituximab,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
rituximab,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
rituximab,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
rituximab,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
rituximab,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
carmustine,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
carmustine,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
carmustine,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
carmustine,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
carmustine,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
triamcinolone,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
triamcinolone,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
triamcinolone,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
triamcinolone,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
triamcinolone,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
bleomycin,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
bleomycin,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
bleomycin,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
bleomycin,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
bleomycin,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
cyclosporine,pulmonary lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
cyclosporine,hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
cyclosporine,non-hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
cyclosporine,gastric lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
cyclosporine,hematological neoplasm,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
sirolimus,pulmonary lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
sirolimus,hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
sirolimus,non-hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
sirolimus,gastric lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
sirolimus,hematological neoplasm,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
cyclophosphamide,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
cyclophosphamide,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
cyclophosphamide,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
cyclophosphamide,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
cyclophosphamide,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
azathioprine,pulmonary lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
azathioprine,hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
azathioprine,non-hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
azathioprine,gastric lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
azathioprine,hematological neoplasm,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
everolimus,pulmonary lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
everolimus,hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
everolimus,non-hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
everolimus,gastric lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
everolimus,hematological neoplasm,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
mycophenolate mofetil,pulmonary lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
mycophenolate mofetil,hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
mycophenolate mofetil,non-hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
mycophenolate mofetil,gastric lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
mycophenolate mofetil,hematological neoplasm,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
phenol,pulmonary lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
phenol,hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
phenol,non-hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
phenol,gastric lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
phenol,hematological neoplasm,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
tacrolimus,pulmonary lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
tacrolimus,hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
tacrolimus,non-hodgkin lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
tacrolimus,gastric lymphoma,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
tacrolimus,hematological neoplasm,lymphoma,contraindication,contraindication,phenotype_phenotype,parent-child
phenytoin,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
phenytoin,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
phenytoin,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
phenytoin,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
phenytoin,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
azathioprine,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
azathioprine,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
azathioprine,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
azathioprine,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
azathioprine,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
busulfan,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
busulfan,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
busulfan,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
busulfan,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
busulfan,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
carbamazepine,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
carbamazepine,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
carbamazepine,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
carbamazepine,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
carbamazepine,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclophosphamide,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclophosphamide,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclophosphamide,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclophosphamide,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclophosphamide,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclosporine,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclosporine,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclosporine,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclosporine,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
cyclosporine,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
dantrolene,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
dantrolene,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
dantrolene,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
dantrolene,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
dantrolene,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ethotoin,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ethotoin,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ethotoin,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ethotoin,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ethotoin,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
felbamate,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
felbamate,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
felbamate,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
felbamate,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
felbamate,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
fluoxetine,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
fluoxetine,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
fluoxetine,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
fluoxetine,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
fluoxetine,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gabapentin,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gabapentin,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gabapentin,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gabapentin,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gabapentin,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gemcitabine,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gemcitabine,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gemcitabine,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gemcitabine,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
gemcitabine,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
idarubicin,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
idarubicin,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
idarubicin,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
idarubicin,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
idarubicin,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ifosfamide,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ifosfamide,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ifosfamide,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ifosfamide,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ifosfamide,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
melphalan,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
melphalan,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
melphalan,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
melphalan,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
melphalan,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
memantine,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
memantine,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
memantine,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
memantine,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
memantine,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mephenytoin,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mephenytoin,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mephenytoin,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mephenytoin,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mephenytoin,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
methotrexate,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
methotrexate,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
methotrexate,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
methotrexate,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
methotrexate,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mycophenolic acid,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mycophenolic acid,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mycophenolic acid,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mycophenolic acid,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
mycophenolic acid,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
aminosalicylic acid,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
aminosalicylic acid,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
aminosalicylic acid,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
aminosalicylic acid,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
aminosalicylic acid,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
pramipexole,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
pramipexole,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
pramipexole,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
pramipexole,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
pramipexole,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sirolimus,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sirolimus,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sirolimus,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sirolimus,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sirolimus,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
rofecoxib,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
rofecoxib,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
rofecoxib,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
rofecoxib,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
rofecoxib,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ropinirole,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ropinirole,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ropinirole,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ropinirole,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
ropinirole,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sertraline,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sertraline,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sertraline,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sertraline,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
sertraline,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
tacrolimus,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
tacrolimus,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
tacrolimus,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
tacrolimus,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
tacrolimus,hematological neoplasm,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
trimethadione,pulmonary lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
trimethadione,hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
trimethadione,non-hodgkin lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
trimethadione,gastric lymphoma,lymphoma,drug_effect,side effect,phenotype_phenotype,parent-child
